,,'John Hancock Hotel', 'John Hancock Hotel Boston', 1.0
,,'Crowne Plaza Times Square', 'Crowne Plaza Hotel Times Square Manhattan New York City', 0.83333333333333337
,,'Courtyard', 'Courtyard Hotel Daytona Beach', 1.0
,,'Hyatt Regency Arcade', 'Hyatt Regency Hotel Arcade Cleveland (Ohio)', 0.83333333333333337
,,'Hyatt Place', 'Hyatt Place Grand Rapids South Hotel Wyoming', 0.88
,,'Hilton', 'Hilton Hotel Baltimore', 1.0
,,'Homestead Suites John Young Parkway', 'Homestead Studio Suites John Young Parkway Orlando', 0.90909090909090906
,,'Four Points North', 'Four Points Hotel Airport Pittsburgh', 0.83333333333333337
,,'InterContinental Century City', 'Intercontinental Hotel Century City Los Angeles', 1.0
,,'Northland Inn', 'Northland Inn Minneapolis', 1.0
,,'Quality Inn', 'Quality Inn Hillsville', 1.0
,,'Stratosphere', 'Stratosphere Hotel Las Vegas', 1.0
,,'W Hotel Seattle', 'W Hotel Seattle', 1.0
,,'Westin Canal Place', 'Westin Canal Place Hotel New Orleans', 1.0
,,'Hotel Palomar', 'Hotel Palomar Philadelphia', 1.0
,,'Courtyard Airport', 'Courtyard Hotel Logan Airport Boston', 1.0
,,'Vino Bello Resort', 'Vino Bello Resort Napa', 1.0
,,'River Edge Motor Lodge', 'River Edge Motor Lodge Gatlinburg', 1.0
,,'Taj Boston', 'Taj Hotel Boston', 1.0
,,'Embassy Suites Biltmore', 'Embassy Suites Biltmore Phoenix', 1.0
,,'Johnson And Wales Inn', 'Johnson & Wales Inn Seekonk', 1.0
,,'Grand Hyatt', 'Grand Hyatt Hotel San Francisco', 1.0
,,'Courtyard', 'Courtyard Hotel Downtown Baltimore', 1.0
,,'Residence Inn', 'Residence Inn South Bend', 1.0
,,'Poco Diablo Resort Resort', 'Poco Diablo Resort Sedona', 0.83720930232558144
,,'Le Meridien', 'Le Meridien Hotel Philadelphia', 1.0
,,'Rosen Centre', 'Rosen Centre Hotel Orlando', 1.0
,,'Residence Inn', 'Residence Inn Mystic', 1.0
,,'InterContinental Stephen F Austin', 'InterContinental Stephen F Hotel Austin', 1.0
,,'Hamilton Park Hotel', 'Hamilton Park Hotel Florham Park', 1.0
,,'La Quinta Inn Las Cruces Organ Mountain', 'La Quinta Inn Organ Mountain Las Cruces', 0.96551724137931039
,,'Quality Inn', 'Quality Inn Manhattan', 1.0
