delaware
,wilmington
,,newark - christiana
,,downtown
,,,hyatt regency wichita,Hyatt Regency Hotel Wichita
,,,holiday inn,Holiday Inn Hotel & Suites Downtown Wichita
,,,broadview hotel,The Broadview Hotel Wichita

,,,Hotel Matched : 3,Hotel Not Matched : 0

,,east
,,,marriott,Marriott Hotel Wichita
,,,holiday inn,Holiday Inn Downtown Aladdin Kansas City (Missouri)
,,,fairfield inn,Fairfield Inn East Wichita

,,,Hotel Matched : 3,Hotel Not Matched : 1

,,airport  ict
,,,la quinta inn airport,La Quinta Inn & Suites Airport Wichita
,,,candlewood suites,Candlewood Suites Airport Wichita

,,,Hotel Matched : 2,Hotel Not Matched : 1

,,northeast
,,,holiday inn express,Holiday Inn Express Wichita
,,,towneplace suites,Towneplace Suites East Wichita
,,,candlewood suites,Candlewood Suites Northeast Wichita

,,,Hotel Matched : 3,Hotel Not Matched : 0

,kansas city
,,olathe

,,,Hotel Matched : 0,Hotel Not Matched : 1

,,overland park - lenexa
,,,candlewood suites,Candlewood Suites Overland Park

,,,Hotel Matched : 1,Hotel Not Matched : 1

,topeka
,,,capitol plaza,Capitol Plaza Hotel Topeka
,,,holiday inn west,Holiday Inn West Topeka
,,,hyatt place,Hyatt Place Hotel Topeka
,,,ramada downtown,Ramada Inn Downtown Topeka
,,,fairfield inn,Fairfield Inn Topeka
,,,quality inn topeka,Quality Inn Topeka

,,,Hotel Matched : 6,Hotel Not Matched : 0

,iola
,,iola

,,,Hotel Matched : 0,Hotel Not Matched : 1

,salina
,,,fairfield inn,Fairfield Inn Salina
,,,ramada inn,Ramada Inn Salina

,,,Hotel Matched : 2,Hotel Not Matched : 0

,,joplin
,manhattan
,,,holiday inn manhattan,Holiday Inn Campus Manhattan
,,,quality inn,Quality Inn Manhattan

,,,Hotel Matched : 2,Hotel Not Matched : 0


rhode island
,providence
,,downtown
,,,hotel providence,Biltmore Hotel Providence
,,,renaissance,Renaissance Hotel Providence
,,,westin,Westin Hotel Providence
,,,hilton,Hilton Hotel Providence
,,,marriott,Marriott Hotel Downtown Providence
,,,biltmore,Biltmore Hotel Providence
,,,radisson hotel,Radisson Hotel Harbor Providence

,,,Hotel Matched : 7,Hotel Not Matched : 0

,,coventry - west warwick
,,,residence inn coventry,Residence Inn Providence Coventry West Greenwich
,,,fairfield inn,Fairfield Inn & Suites Coventry (Rhode Island)
,,,springhill suites,SpringHill Suites Providence West Warwick

,,,Hotel Matched : 3,Hotel Not Matched : 1

,,east providence - seekonk
,,,best western,Best Western Providence Inn Seekonk
,,,johnson and wales inn,Johnson & Wales Inn Seekonk

,,,Hotel Matched : 2,Hotel Not Matched : 0

,,cranston - warwick - providence airport pvd
,,,courtyard warwick airport,Courtyard Hotel Providence Warwick (Rhode Island)
,,,hilton garden inn,Hilton Garden Inn Airport Warwick (Rhode Island)
,,,nylo hotel,Nylo Hotel Providence Warwick (Rhode Island)
,,,radisson airport,Radisson Hotel Airport Warwick (Rhode Island)
,,,hampton inn and suites,Hampton Inn & Suites Airport Warwick (Rhode Island)
,,,comfort inn airport,Comfort Inn Airport Warwick (Rhode Island)
,,,extended stayamerica,Extended Stay America Hotel Warwick (Rhode Island)
,,,homestead studio suites,Homestead Studio Suites Providence Airport Warwick (Rhode Island)

,,,Hotel Matched : 8,Hotel Not Matched : 1

,newport
,,goat island
,,,hotel viking,Hotel Viking Newport
,,,hyatt regency,Hyatt Regency Hotel Newport
,,,newport beach hotel and suites,Quality Inn & Suites Atlantic Beach Middletown (Rhode Island)
,,,newport marriott,Marriott Hotel Newport
,,,newport harbor hotel and marina,Newport Harbor Hotel & Marina

,,,Hotel Matched : 5,Hotel Not Matched : 0

,,south kingstown

,,,Hotel Matched : 0,Hotel Not Matched : 1

,,middletown
,,,courtyard middletown,Courtyard Hotel Newport Middletown (Rhode Island)
,,,newport spa and whirlpool suites,Newport Whirlpool Suites Middletown (Rhode Island)

,,,Hotel Matched : 2,Hotel Not Matched : 0


tennessee
,chattanooga
,,downtown
,,,courtyard,Courtyard Hotel Downtown Chattanooga
,,,sheraton read house,Sheraton Read House Hotel Chattanooga
,,,staybridge suites,Staybridge Suites Downtown Chattanooga
,,,chattanooga choo choo,Chattanooga Choo Choo Hotel

,,,Hotel Matched : 4,Hotel Not Matched : 3

,,lookout mountain
,,,country inn and suites,Country Inn & Suites West Chattanooga

,,,Hotel Matched : 1,Hotel Not Matched : 0

,,hixson
,,,country inn and suites,Country Inn & Suites Hixson

,,,Hotel Matched : 1,Hotel Not Matched : 0

,,airport cha
,,,staybridge suites,Staybridge Suites Hamilton Place Chattanooga
,,,la quinta,La Quinta Inn Shallowford Chattanooga
,,,extended stayamerica,Extended Stay America Hotel Chattanooga

,,,Hotel Matched : 3,Hotel Not Matched : 0

